20MICRONS
3IINFOTECH
3MINDIA
A2ZMES
AANJANEYA
AARTIDRUGS
AARTIIND
AARVEEDEN
ABAN
ABB
ABBOTINDIA
ABCIL
ABGSHIP
ABHISHEK
ABIRLANUVO
ACC
ACE
ACROPETAL
ADANIENT
ADANIPORTS
ADANIPOWER
ADFFOODS
ADHUNIK
ADORWELD
ADSL
ADVANIHOTR
ADVANTA
AEGISCHEM
AFL
AFTEK
AGCNET
AGRODUTCH
AHLEAST
AHLUCONT
AHLWEST
AHMEDFORGE
AIAENG
AJANTPHARM
AJMERA
AKZOINDIA
ALBK
ALCHEM
ALEMBICLTD
ALICON
ALKALI
ALKYLAMINE
ALLCARGO
ALMONDZ
ALOKTEXT
ALPA
ALPHAGEO
ALPINEHOU
ALPSINDUS
ALSTOMT&D
AMAR
AMARAJABAT
AMARJOTHI
AMBIKCO
AMBUJACEM
AMDIND
AMLSTEEL
AMRUTANJAN
AMTEKAUTO
AMTEKINDIA
ANANTRAJ
ANDHRABANK
ANDHRACEMT
ANDHRSUGAR
ANIKINDS
ANKURDRUGS
ANSALAPI
ANSALHSG
ANTGRAPHIC
APARINDS
APCOTEXIND
APIL
APLAB
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
APPAPER
APTECHT
AQUA
ARCHIDPLY
ARCHIES
ARIES
ARIHANT
AROGRANITE
ARROWTEX
ARSHIYA
ARSSINFRA
ARVIND
ASAHIINDIA
ASAHISONG
ASAL
ASHCONIUL
ASHIANA
ASHOKA
ASHOKLEY
ASIANELEC
ASIANHOTNR
ASIANPAINT
ASIL
ASSAMCO
ASTEC
ASTERSILI
ASTRAL
ASTRAMICRO
ASTRAZEN
ATFL
ATLANTA
ATNINTER
ATUL
AURIONPRO
AUROPHARMA
AUSOMENT
AUSTRAL
AUTOAXLES
AUTOIND
AUTOLITIND
AVANTI
AVENTIS
AVTNPL
AXIS-IT&T
AXISBANK
BAGFILMS
BAJAJ-AUTO
BAJAJCORP
BAJAJELEC
BAJAJFINSV
BAJAJHIND
BAJAJHLDNG
BAJFINANCE
BALAJITELE
BALAMINES
BALKRISIND
BALLARPUR
BALMLAWRIE
BALPHARMA
BALRAMCHIN
BANARISUG
BANCOINDIA
BANG
BANKBARODA
BANKINDIA
BANSWRAS
BARTRONICS
BASF
BASML
BATAINDIA
BATLIBOI
BAYERCROP
BBL
BBTC
BEARDSELL
BEDMUTHA
BEL
BELLCERATL
BEML
BEPL
BERGEPAINT
BFINVEST
BFUTILITIE
BGLOBAL
BGRENERGY
BHAGWATIHO
BHAGYNAGAR
BHARATFORG
BHARATRAS
BHARTIARTL
BHARTISHIP
BHEL
BHUSANSTL
BIL
BIMETAL
BINANIIND
BINDALAGRO
BIOCON
BIRLACORPN
BIRLACOT
BIRLAERIC
BIRLAMONEY
BIRLAPOWER
BLISSGVS
BLKASHYAP
BLUECHIP
BLUEDART
BLUESTARCO
BLUESTINFO
BOC
BODALCHEM
BOMDYEING
BOSCHLTD
BPCL
BPL
BRANDHOUSE
BRFL
BRIGADE
BRITANNIA
BROADCAST
BSELINFRA
BSL
BSTRANSCOM
BURNPUR
CADILAHC
CAIRN
CALSOFT
CAMBRIDGE
CANBK
CANDC
CANFINHOME
CANTABIL
CARBORUNIV
CAREERP
CASTROL
CCCL
CCL
CEATLTD
CEBBCO
CELEBRITY
CELESTIAL
CENTENKA
CENTEXT
CENTRALBK
CENTUM
CENTURYPLY
CENTURYTEX
CERA
CESC
CHAMBLFERT
CHEMFALKAL
CHEMPLAST
CHENNPETRO
CHESLINTEX
CHETTINAD
CHOLAFIN
CILNOVA
CIMMCO
CINEVISTA
CIPLA
CLASSIC
CLNINDIA
CLUTCHAUTO
CMAHENDRA
CMC
COALINDIA
COLPAL
COMPUAGE
COMPUSOFT
CONCOR
CONSOFINVT
CORAL-HUB
CORDSCABLE
COREEDUTEC
COROENGG
COROMANDEL
CORPBANK
COSMOFILMS
COX&KINGS
CREATIVEYE
CRESTANI
CREWBOS
CRISIL
CROMPGREAV
CTE
CUB
CUBEXTUB
CUMMINSIND
CYBERMEDIA
CYBERTECH
DAAWAT
DABUR
DALMIABEL
DALMIASUG
DATAMATICS
DBCORP
DBREALTY
DBSTOCKBRO
DCB
DCHL
DCMSRMCONS
DCW
DECCANCE
DECOLIGHT
DEEPAKFERT
DEEPAKNTR
DEEPIND
DELTACORP
DELTAMAGNT
DEN
DENABANK
DENORA
DENSO
DHAMPURSUG
DHANBANK
DHANUKA
DHARSUGAR
DHFL
DHUNINV
DIAPOWER
DICIND
DIGJAM
DISHMAN
DISHTV
DIVISLAB
DLF
DLINKINDIA
DOLPHINOFF
DONEAR
DPSCLTD
DPTL
DQE
DREDGECORP
DRREDDY
DSKULKARNI
DUNCANSIND
DWARKESH
DYNAMATECH
EASTSILK
ECEIND
ECLERX
EDELWEISS
EDL
EDSERV
EDUCOMP
EICHERMOT
EIDPARRY
EIHAHOTELS
EIHOTEL
EIMCOELECO
EKC
ELDERPHARM
ELECON
ELECTCAST
ELECTHERM
ELFORGE
ELGIEQUIP
ELGIRUBCO
ELNET
EMAMIINFRA
EMAMILTD
EMCO
EMKAY
EMMBI
EMPEESUG
ENERGYDEV
ENGINERSIN
ENIL
ENTEGRA
ERAINFRA
EROSMEDIA
ESABINDIA
ESCORTS
ESL
ESSAROIL
ESSARPORTS
ESSARSHPNG
ESSDEE
ESSELPACK
ESTER
EUROMULTI
EUROTEXIND
EVEREADY
EVERESTIND
EVERONN
EXCELCROP
EXCELINDUS
EXCELINFO
EXIDEIND
FACT
FAGBEARING
FARMAXIND
FCH
FCSSOFT
FDC
FEDDERLOYD
FEDERALBNK
FIEMIND
FILATEX
FINANTECH
FINCABLES
FINPIPE
FIRSTLEASE
FIRSTWIN
FKONCO
FLEXITUFF
FMGOETZE
FMNL
FORTIS
FOSECOIND
FOURSOFT
FSL
FTCPOF5YDV
FTCPOF5YGR
FUTUREVENT
GABRIEL
GAEL
GAIL
GAL
GALLANTT
GALLISPAT
GAMMNINFRA
GAMMONIND
GANDHITUBE
GANESHHOUC
GANGOTRI
GARDENSILK
GARWALLROP
GATI
GAYAPROJ
GDL
GEECEE
GEINDSYS
GEMINI
GENESYS
GENUSPOWER
GEODESIC
GEOJITBNPP
GEOMETRIC
GESHIP
GHCL
GICHSGFIN
GILLANDERS
